Alert_ID,Alert,Date,Time,Lat,Long,Vehicle,Speed
100001,cas_ldw,01/06/2022,06:05:10,12.87899,80.080324,805,13
100002,cas_ldw,01/06/2022,06:06:41,12.873922,80.078184,805,59
100003,cas_ldw,01/06/2022,06:07:12,12.86711,80.075508,805,58
100004,cas_ldw,01/06/2022,06:07:50,12.855921,80.069229,805,58
100005,cas_ldw,01/06/2022,06:08:17,12.852359,80.066607,805,58
100006,cas_ldw,01/06/2022,06:08:36,12.849964,80.064909,805,58
100007,cas_ldw,01/06/2022,06:09:18,12.845798,80.061731,805,45
100008,cas_ldw,01/06/2022,06:10:17,12.841731,80.057609,805,58
100009,cas_ldw,01/06/2022,06:11:44,12.831583,80.046907,805,58
100010,cas_ldw,01/06/2022,06:12:59,12.822942,80.038928,805,58
100011,cas_ldw,01/06/2022,06:13:23,12.820537,80.037237,805,57
100012,cas_ldw,01/06/2022,06:14:04,12.818145,80.035529,805,57
100013,cas_hmw,01/06/2022,06:14:53,12.815835,80.033858,805,45
100014,cas_ldw,01/06/2022,06:15:07,12.814768,80.033094,805,61
100015,cas_hmw,01/06/2022,06:15:35,12.803876,80.026072,805,58
100016,cas_hmw,01/06/2022,06:15:38,12.803876,80.026072,805,58
100017,cas_ldw,01/06/2022,06:15:58,12.801438,80.02447,805,58
100018,cas_ldw,01/06/2022,06:16:08,12.800221,80.023653,805,56
100019,cas_ldw,01/06/2022,06:16:26,12.797784,80.022085,805,58
100020,cas_hmw,01/06/2022,06:16:37,12.796555,80.021272,805,58
100021,cas_hmw,01/06/2022,06:16:46,12.795046,80.020296,805,0
100022,cas_ldw,01/06/2022,06:17:00,12.793592,80.019323,805,59
100023,cas_ldw,01/06/2022,06:17:27,12.790001,80.017028,805,57
100024,cas_ldw,01/06/2022,06:18:37,12.781964,80.012667,805,58
100025,cas_hmw,01/06/2022,06:18:55,12.779812,80.01172,805,58
100026,cas_hmw,01/06/2022,06:19:10,12.777725,80.010838,805,48
100027,cas_ldw,01/06/2022,06:20:11,12.770133,80.007326,805,46
100028,cas_ldw,01/06/2022,06:20:42,12.766036,80.005408,805,58
100029,cas_ldw,01/06/2022,06:21:03,12.763868,80.004497,805,58
100030,cas_hmw,01/06/2022,06:21:48,12.757137,80.002432,805,58
100031,cas_ldw,01/06/2022,06:22:20,12.753059,80.000121,805,57
100032,cas_ldw,01/06/2022,06:22:40,12.751096,79.998814,805,58
